TICKER,COMPANY_NAME,SECTOR,CAP_SIZE,BETA,DIVIDEND_YIELD,SECTOR_PE,EPS,PRICE TO EARNING,DIFFERENTIAL_PE,INV_BETA,SALES,NET PROFIT,EBITDA,EBITDA_MARGIN
SELAN,Selan Exploration Technology Limited,Crude oil,S,0.86,2.56,21.25,13.822,17.932,15.614117647058832,1.1627906976744187,"[55.84, 76.61, 93.33, 89.6, 48.82]","[8.83, 22.06, 51.51, 22.44, 6.24]","[43.160000000000004, 54.559999999999995, 74.86, 54.7, 21.07]","[77.29226361031517, 71.21785667667405, 80.21000750026786, 61.049107142857146, 43.158541581319135]"
CHENNPETRO,Chennai Petroleum Corporation Limited,Crude oil,S,1.29,0.0,21.25,-1.4880000000000002,-0.526,102.47529411764707,0.7751937984496123,"[27522.5, 32369.29, 41112.96, 36973.38, 22222.42]","[1029.75, 912.92, -213.36, -2077.58, 237.56]","[1917.52, 2120.28, 576.4200000000001, -2078.5699999999997, 2120.3900000000003]","[6.967099645744391, 6.550282690785001, 1.40203964881147, -5.621801414963954, 9.541670079136297]"
ABAN,Aban Offshore Limited,Crude oil,S,0.96,0.0,21.25,-155.422,21.716,-2.1929411764705935,1.0416666666666667,"[886.86, 591.53, 262.89, 240.54, 155.93]","[211.14, 8.57, -69.32, -4457.39, -231.3]","[620.64, 342.35, 219.76, -4622.24, -111.73]","[69.98173330627156, 57.87534021943097, 83.59389858876337, -1921.6097114824977, -71.65394728403771]"
TNPETRO,Tamilnadu PetroProducts Limited,Crude oil,S,1.14,2.13,21.25,6.4879999999999995,11.526,45.76,0.8771929824561404,"[888.85, 1048.9, 1245.33, 1224.96, 1145.22]","[9.3, 51.7, 54.27, 55.08, 121.65]","[91.81, 105.84, 98.53, 101.47, 199.8]","[10.329076897114248, 10.090571074458957, 7.911959079119591, 8.28353578892372, 17.44642950699429]"
DLF,DLF Limited,Reality,L,1.82,0.51,41.62,4.401999999999999,57.766,-38.79384911100433,0.5494505494505494,"[3702.95, 3055.9, 3295.39, 2369.95, 3893.48]","[596.56, 365.2, 687.58, 2264.32, 1075.97]","[2215.56, 1700.77, 1630.44, 4152.8099999999995, 2039.37]","[59.83229587221, 55.65528976733532, 49.4763897444612, 175.22774742083166, 52.379105581639045]"
OBEROIRLTY,Oberoi Realty Limited,Reality,L,1.44,0.0,41.62,10.864,42.279999999999994,-1.5857760691974931,0.6944444444444444,"[890.59, 974.19, 1028.66, 619.66, 849.67]","[320.65, 417.17, 453.7, 314.84, 416.62]","[520.3, 633.1500000000001, 690.9399999999999, 461.61999999999995, 546.49]","[58.421945002750974, 64.99245527053245, 67.16893823031906, 74.49569118548881, 64.31791165982088]"
GODREJPROP,Godrej Properties Limited,Reality,L,1.55,0.0,41.62,7.352000000000001,-118.63200000000002,385.0360403652091,0.6451612903225806,"[998.63, 556.38, 1433.75, 2085.36, 570.42]","[196.51, 105.04, 209.35, 384.16, -42.81]","[435.91999999999996, 368.45, 550.05, 904.9199999999998, 334.17]","[43.651802970068985, 66.22272547539451, 38.3644289450741, 43.39394636897225, 58.58314925844115]"
BRIGADE,Brigade Enterprises Ltd,Reality,M,1.28,0.24,41.62,9.906,19.976,52.003844305622295,0.78125,"[1483.76, 1248.9, 1798.34, 1837.36, 1514.45]","[163.97, 180.51, 234.22, 260.8, 144.56]","[488.62, 504.15, 604.63, 620.47, 461.86]","[32.93120181161374, 40.367523420610134, 33.62156210727671, 33.76964775547525, 30.49688005546568]"
PRESTIGE,Prestige Estates Projects Limited,Reality,M,1.23,0.3,41.62,8.3,35.406,14.930321960595865,0.8130081300813008,"[2176.4, 2992.5, 2441.1, 3355.8, 4054.2]","[590.3, 232.0, 289.2, 262.4, 212.8]","[832.6999999999998, 686.5999999999999, 780.3, 1210.1999999999998, 1033.7]","[38.2604300680022, 22.94402673350041, 31.965097701855722, 36.06293581262292, 25.497015440777467]"
PHOENIXLTD,The Phoenix Mills Limited,Reality,M,0.84,0.09,41.62,11.346,53.076,-27.525228255646333,1.1904761904761905,"[375.9, 397.21, 440.33, 444.43, 249.18]","[133.55, 154.83, 173.09, 147.56, 292.26]","[273.92, 304.91, 331.29, 300.42, 421.09999999999997]","[72.87044426709231, 76.76292137660181, 75.23675425249245, 67.596696892649, 168.9943013082912]"
NBCC,NBCC (India) Limited,Reality,S,1.46,1.18,41.62,1.498,41.007999999999996,1.4704469005285965,0.684931506849315,"[6279.39, 5905.01, 7244.76, 5210.34, 4947.45]","[351.1, 333.61, 384.11, 79.87, 201.74]","[492.61, 507.61999999999995, 563.2900000000001, 251.89000000000001, 259.18]","[7.844870281985989, 8.596429133904937, 7.775136788520255, 4.834425392584745, 5.2386582987195425]"
SOBHA,Sobha Limited,Reality,S,1.25,0.49,41.62,20.538,26.618000000000002,36.04517059106198,0.8,"[2174.95, 2597.48, 3358.76, 3755.84, 2096.7]","[140.21, 193.94, 286.53, 289.48, 65.54]","[432.81, 527.66, 719.49, 1181.66, 726.1300000000001]","[19.899767810754273, 20.314304633721914, 21.42129833629077, 31.461936610718244, 34.632040826060006]"
SUNTECK,Sunteck Realty Limited,Reality,S,1.14,0.31,41.62,8.51,48.96,-17.63575204228737,0.8771929824561404,"[197.24, 175.73, 237.93, 259.25, 313.9]","[158.35, 123.59, 190.33, 86.8, 37.84]","[174.20999999999998, 145.30999999999997, 231.66, 125.94, 96.49000000000001]","[88.32386939768807, 82.68935298469242, 97.36477115117891, 48.57859209257474, 30.739088881809497]"
JMCPROJECT,JMC Projects (India) Ltd,Reality,S,1.06,0.77,41.62,5.44,14.388000000000002,65.43008169149446,0.9433962264150942,"[2328.42, 2755.64, 3252.86, 3713.03, 3688.78]","[58.26, 106.13, 142.13, 78.96, 71.11]","[235.11, 314.09999999999997, 378.09999999999997, 380.47, 385.5]","[10.097405107325997, 11.398441015517266, 11.62361737056006, 10.246887313056991, 10.450609686671473]"
