TICKER,COMPANY_NAME,SECTOR,CAP_SIZE,BETA,DIVIDEND_YIELD,SECTOR_PE,EPS,PRICE TO EARNING,DIFFERENTIAL_PE,INV_BETA,SALES,NET PROFIT,EBITDA,EBITDA_MARGIN
EMAMILTD,Emami,FMCG,M,1.0,2.9182156133828996,7.3036593194949715,2.3501671751342466,6.945728159235924,3.35874486957005,10.0,[6.60512542 6.2190198  6.1989094 ],[9.14988984 9.14482148 9.14486535],[3.23877824 3.2324977  3.23283321],[6.54479439 6.50458886 6.52216545]
GILLETTE,Gilette,FMCG,S,1.0,3.7411764705882353,7.3036593194949715,5.838184277603452,4.881395435980066,6.637933266765512,10.0,[4.00811468 3.67446775 3.60760137],[5.22688758 5.20898893 5.20836512],[2.23803234 2.22987636 2.2304515 ],[8.62211417 8.61866505 8.62073667]
RUCHI,Ruchi Soya,FMCG,S,3.6194029850746268,1.0,7.3036593194949715,4.550168855189422,2.4996515157192642,8.635282631452295,4.270055970149254,[4.13213589 3.78552126 3.4807146 ],[10.          5.76916549  5.28740632],[4.02186062 2.50463249 2.36565364],[8.69671643 8.49759853 8.48337611]
DAAWAT,LT foods,FMCG,S,4.761194029850746,2.447058823529412,7.3036593194949715,4.259811544725921,3.450069322141867,7.838254711827197,3.2143406677950463,[3.44044755 3.55925106 3.57044164],[5.01370461 4.98462504 4.97433065],[2.13666546 2.129537   2.12876697],[8.51309551 8.50992112 8.51048945]
ADFFOODS,ADF Foods,FMCG,S,4.156716417910447,1.4588235294117649,7.3036593194949715,4.493604667212647,3.103653464233522,8.128761801117843,3.7224389416553607,[4.06084896 3.84133285 3.74722649],[4.93826086 4.93353799 4.92966316],[2.07012354 2.06811386 2.06635325],[8.62801592 8.62850714 8.6171814 ]
BHARTIARTL,Bharti,Telecom,L,5.276243093922652,1.0,6.117269420072758,1.0,9.545747962525708,1.5418312097075637,1.0542960563916937,[5.56166545 4.97870271 4.7205165 ],[1.         3.1065133  3.27202542],[1.         1.47564228 1.48426334],[1.         2.5289391  2.52558506]
INDUSTOWER,Indus Tower,Telecom,L,7.314917127071824,9.401840490797547,6.117269420072758,2.0475762522238323,7.390252494477874,3.357037221603768,1.0209772099447514,[10.          6.45678696  6.11201903],[5.6998461  5.7036735  5.70751364],[1.37827004 1.34503739 1.33765886],[5.8355449  6.21921537 6.38533494]
TATACOMM,Tata communication,Telecom,L,5.077348066298343,2.039877300613497,6.117269420072758,2.018029088641491,7.383625942569885,3.362617635499242,1.0593090594421888,[5.05245162 4.93211286 4.90419475],[5.42273259 5.375036   5.38752422],[1.17993724 1.15957981 1.16501352],[3.74734731 3.30359387 3.52326195]
IDEA,Vodafone Idea,Telecom,M,7.257812500000002,1.0,6.117269420072758,1.4536018642560424,4.25190416950921,5.348973876700208,1.83551025390625,[5.40578752 7.21913986 6.47684815],[1.         4.42134199 5.33414522],[1.         2.52605523 2.95074228],[4.39802554 5.25904134 5.49324506]
TTML,TTML,Telecom,M,3.1093749999999996,1.0,6.117269420072758,0.9999999999999999,4.902732854448413,4.82041377236202,4.894701086956523,[5.69983559 4.59793924 4.31407162],[8.71082515 8.5481253  8.59419799],[2.95054214 2.7854124  2.84351761],[2.01117357 1.         1.82482667]
AFFLE,Affle,Telecom,M,7.046875000000002,1.0,6.117269420072758,2.032939693118238,9.049255588105462,1.4528816714264612,1.9213750000000003,[9.69942197 9.76169202 9.36771425],[9.10221151 9.10100418 9.1004257 ],[3.12456031 3.12270072 3.12177931],[6.20515947 6.20568301 6.10493809]
